"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test issuer with invalid ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","7","Test issuer init_app with PASERK key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test login manager with invalid key type","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid EXP config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with mandatory configs only","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","4","Test cookie session with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test verifier with invalid SKEW config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","2","Test issuer init_app with multiple PASERK keys","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","0","Test login manager with unsupported PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test login manager with invalid version type","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","0","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","0","Test verifier with invalid DESERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","3","Test login manager with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid USE_ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test verifier init_app with PASERK key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","0","Test issuer with invalid ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid EXP config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test verifier with invalid SKEW config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid SERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","0","Test login manager with unsupported PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","3","Test login manager with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test login manager with unsupported PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","0","Test login manager with invalid version type","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","2","Test verifier with wrong public key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid EXP config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","3","Test login manager with invalid key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer issue with bad serializer","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid SERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","3","Test login manager with duration config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test verifier with invalid DESERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer and verifier without login","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuerAndVerifier","test_issuer_and_verifier","",""
"","2","Test verifier init_app method","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","3","Test cookie session without secret key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","3","Test login manager with remember cookie key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","2","Test basic issuer functionality","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test login manager with invalid key type","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","3","Test login manager without secret key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","3","Test login manager with duration parameter","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","0","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","5","Test cookie session with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","3","Test cookie session encode with invalid key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","2","Test paseto_required before verifier setting","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","3","Test login manager with invalid duration","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","3","Test cookie session decode with invalid PASETO","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","2","Test cookie session decode with another key","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test verifier with invalid SKEW config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with multiple keys","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test verifier with invalid SKEW config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","3","Test cookie session with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","3","Test issuer and verifier integration","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuerAndVerifier","test_issuer_and_verifier","",""
"","0","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","0","Test verifier with invalid DESERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test verifier init_app with multiple PASERK keys","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test issuer with invalid SERIALIZER config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","4","Test login manager with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","0","Test cookie session with invalid PASETO version","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","3","Test cookie session with different PASETO versions","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test verifier with invalid PUBLIC_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid USE_IAT config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test issuer with invalid USE_ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid EXP config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test verifier with invalid SKEW config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoVerifier","test_verifier","",""
"","1","Test issuer with invalid USE_ISS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","0","Test login manager with invalid key type","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer with invalid USE_KID config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","3","Test basic login manager functionality","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoLoginManager","test_login_manager","",""
"","1","Test issuer init_app method","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
"","8","Test basic cookie session functionality","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoCookieSessionInterface","test_cookie_session","",""
"","1","Test issuer with invalid PRIVATE_KEYS config","tests","Sat May 16 11:36:19 UTC 2026","passed","Sat May 16 11:36:19 UTC 2026","TestPasetoIssuer","test_issuer","",""
